State,County,Returns Total,Total AGI,Outflow,Outflow AGI,Inflow,Inflow AGI,Net Inflow(Outflow),Flow(%),Unemployment Rate(%),1 Bed Average,2 Bed Average,Highest Marginal Income Tax Rate (%),Median Home Price 2017
CA,Los Angeles County,3732877,330740878,154210,11436416,120440,8511638,-33770,-0.905,4.7,1388,1798,12.3,647932
IL,Cook County,2011039,178442056,100145,8657421,77478,5723827,-22667,-1.127,4.0,1099,1279,4.95,260542
TX,Harris County,1519470,120110671,93935,6744329,82339,5181538,-11596,-0.763,4.4,936,1146,0.0,187271
AZ,Maricopa County,1471961,117024435,67741,4328950,88231,6573244,20490,1.392,4.1,870,1082,4.54,285478
CA,San Diego County,1248474,110803163,71198,4891830,67893,4650336,-3305,-0.265,3.3,1400,1816,12.3,611062
CA,Orange County,1192078,125315037,66496,5333233,58396,4863167,-8100,-0.679,2.9,1610,2024,12.3,747758
FL,Miami-Dade County,1030119,65044981,54277,3320025,35859,4309158,-18418,-1.788,3.9,1141,1447,0.0,317347
NY,Kings County,974546,66066153,74783,5113184,59854,4126461,-14929,-1.532,4.2,1696,1948,8.82,743191
NY,Queens County,929526,53963786,62452,3970563,46460,2597204,-15992,-1.72,3.6,1696,1948,8.82,577991
TX,Dallas County,891292,77694769,74763,5026924,67752,4748091,-7011,-0.787,3.7,948,1163,0.0,191696
WA,King County,870653,118721944,64891,5749471,63819,5370689,-1072,-0.123,3.5,1633,2006,0.0,636990
NV,Clark County,796439,57282761,38284,2175811,53538,3777011,15254,1.915,4.8,833,1034,0.0,300249
CA,Riverside County,770647,49841912,48974,2874504,55724,3363745,6750,0.876,4.4,1003,1253,12.3,388215
CA,Santa Clara County,742126,137755940,51481,7270493,41828,4644312,-9653,-1.301,2.6,2217,2753,12.3,1112008
FL,Broward County,720672,52494991,51238,3154298,48477,3387475,-2761,-0.383,3.4,1156,1476,0.0,287165
TX,Tarrant County,706539,62451120,52368,3365597,53903,3295717,1535,0.217,3.5,892,1122,0.0,203964
CA,San Bernardino County,697466,42198055,47252,2453323,47926,2300220,674,0.097,4.0,1003,1253,12.3,359487
NY,New York County,687496,179278891,78511,12473140,68408,8538560,-10103,-1.47,3.7,1696,1948,8.82,1033669
TX,Bexar County,674412,44427764,38604,2387824,40760,2308578,2156,0.32,3.3,853,1066,0.0,172476
MA,Middlesex County,624151,86407105,48934,4974179,43495,3823209,-5439,-0.871,2.7,1175,1490,5.05,550958
MA,Middlesex County,624151,86407105,48934,4974179,43495,3823209,-5439,-0.871,2.7,1546,1894,5.05,550958
NY,Suffolk County,623979,64346617,25289,2263635,22078,2034318,-3211,-0.515,3.9,1648,2026,8.82,417873
CA,Alameda County,619312,70690273,49635,4750596,45864,4434831,-3771,-0.609,3.0,2000,2511,12.3,899885
MI,Wayne County,615893,37139484,31991,1773074,27799,1476362,-4192,-0.681,5.2,781,1009,4.25,126775
NY,Nassau County,567572,75398637,29902,3266495,25896,2627221,-4006,-0.706,3.5,1648,2026,8.82,518794
FL,Palm Beach County,553857,61273140,35233,2953481,37476,5417837,2243,0.405,3.6,1136,1422,0.0,311619
CA,Sacramento County,544229,39224971,31738,1974737,33378,1904425,1640,0.301,3.8,916,1157,12.3,387826
NY,Bronx County,516670,22250326,35641,1583505,24562,1036370,-11079,-2.144,5.7,1696,1948,8.82,423909
PA,Allegheny County,504386,42891999,23128,1735463,21240,1471831,-1888,-0.374,4.0,763,950,3.07,164199
MN,Hennepin County,499957,55874322,39718,3011832,38035,2458349,-1683,-0.337,2.5,923,1164,9.85,300111
FL,Hillsborough County,497009,36158653,39799,2314898,43929,2724138,4130,0.831,3.4,899,1116,0.0,239746
MI,Oakland County,493700,55555032,32252,2314449,31153,2125730,-1099,-0.223,3.3,781,1009,4.25,270172
OH,Cuyahoga County,491682,35760985,23492,1722515,20665,1270337,-2827,-0.575,5.2,678,840,4.997,141414
OH,Franklin County,489372,35771317,32930,2063303,30508,1663834,-2422,-0.495,3.8,761,970,4.997,189199
FL,Orange County,476445,32185088,48683,2445554,46718,2682267,-1965,-0.412,3.2,972,1159,0.0,260971
TX,Travis County,431303,49131355,47553,3238771,48623,3884317,1070,0.248,2.8,1104,1350,0.0,347488
CA,Contra Costa County,428412,55050836,29489,2934471,28243,2777893,-1246,-0.291,3.2,2000,2511,12.3,740072
VA,Fairfax County,418618,59342138,46195,4370226,40400,3516353,-5795,-1.384,2.4,1561,1793,5.75,601689
MD,Montgomery County,405113,52588069,32326,2887619,27259,2063951,-5067,-1.251,3.2,1561,1793,5.75,507032
UT,Salt Lake County,394682,32171645,25040,1557230,25351,1516484,311,0.079,3.0,881,1093,4.95,339715
MO,St. Louis County,387097,40987838,26482,1840109,25165,1582118,-1317,-0.34,3.0,739,957,5.4,209460
NY,Westchester County,382489,68855408,22512,3075710,20738,2602490,-1774,-0.464,3.9,1487,1813,8.82,580109
NY,Westchester County,382489,68855408,22512,3075710,20738,2602490,-1774,-0.464,3.9,1696,1948,8.82,580109
NC,Wake County,379272,37937491,29853,2009623,33999,2380346,4146,1.093,3.4,954,1095,5.25,298303
NC,Mecklenburg County,375430,37313508,34327,2511245,36156,2658138,1829,0.487,3.7,897,1036,5.25,257495
GA,Fulton County,373518,44050557,46808,3543949,48914,3813753,2106,0.564,4.0,957,1099,5.75,343072
FL,Pinellas County,369741,27015006,26591,1501981,30718,2323323,4127,1.116,3.3,899,1116,0.0,221451
NJ,Bergen County,366405,50532345,22824,2546073,20704,2138024,-2120,-0.579,3.4,1439,1691,10.75,498038
